-,-,-,-,-,-,-,-,-,-,-,-





'a'













0.24,0.95,-0.03,1.28,1.28,-0.79,0.98,1.98,10,616,8,22
0.24,0.95,-0.04,1.28,0.98,-0.73,0.98,1.77,10,617,8,20
0.24,0.95,-0.04,1.46,0.98,-0.73,0.98,1.91,9,617,8,22
0.24,0.95,-0.03,1.28,1.10,-0.67,0.98,1.82,9,617,7,21
0.24,0.95,-0.03,1.28,0.98,-0.55,0.98,1.70,9,616,7,23
0.24,0.95,-0.03,1.53,1.10,-0.55,0.98,1.96,9,616,8,20
0.24,0.95,-0.03,1.28,1.22,-0.73,0.98,1.92,9,616,9,19
0.24,0.95,-0.04,1.46,1.16,-0.49,0.98,1.93,10,617,8,20
0.24,0.95,-0.03,1.40,1.04,-0.61,0.98,1.85,9,616,8,21
0.24,0.95,-0.04,1.46,1.10,-0.55,0.98,1.91,10,615,7,21
0.24,0.95,-0.03,1.16,1.28,-0.55,0.98,1.81,9,616,7,21
0.24,0.95,-0.03,1.46,1.34,-0.73,0.98,2.12,9,616,8,21
0.24,0.95,-0.03,1.28,1.28,-0.55,0.98,1.89,9,617,9,23
0.24,0.95,-0.03,1.40,1.10,-0.55,0.98,1.87,10,618,9,21
0.24,0.95,-0.03,1.28,1.16,-0.55,0.98,1.81,10,618,9,20
0.24,0.95,-0.03,1.10,1.28,-0.67,0.98,1.82,9,617,7,22
0.24,0.95,-0.04,1.46,1.22,-0.67,0.98,2.02,9,620,7,21
0.24,0.95,-0.03,1.53,1.22,-0.55,0.98,2.03,9,615,7,22
0.24,0.95,-0.03,1.40,1.16,-0.67,0.98,1.94,9,615,8,20
0.24,0.95,-0.03,1.40,0.98,-0.55,0.98,1.80,9,618,7,23
0.24,0.95,-0.03,1.46,1.22,-0.61,0.98,2.00,9,616,7,23
0.24,0.95,-0.03,1.22,1.28,-0.55,0.98,1.85,9,617,8,21
0.24,0.95,-0.03,1.46,1.16,-0.55,0.98,1.95,10,615,7,22
0.24,0.95,-0.03,1.10,1.10,-0.43,0.98,1.61,10,617,7,20
0.24,0.95,-0.03,1.34,1.16,-0.61,0.98,1.88,9,615,7,20
