-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.09,0.80,0.17,34.42,7.81,-28.63,0.83,45.45,75,306,0,134
0.10,1.01,0.06,-4.21,0.98,-13.73,1.02,14.40,312,339,11,123
0.20,1.03,0.09,7.93,-0.55,-11.05,1.05,13.61,776,373,26,122
0.16,0.94,0.14,9.52,-1.89,-13.31,0.96,16.47,684,403,40,129
0.17,0.97,0.12,0.18,-1.22,-7.93,0.99,8.03,736,423,49,117
0.17,0.98,0.12,-4.52,-1.53,-2.87,1.00,5.56,433,433,55,111
0.17,1.00,0.11,-5.49,-1.83,-1.40,1.02,5.96,508,446,55,94
0.16,0.98,0.11,-2.50,-2.56,-2.56,1.00,4.41,844,456,61,78
0.17,1.00,0.09,3.30,-3.48,-5.43,1.02,7.24,1440,464,67,57
0.17,0.95,0.14,8.24,-4.94,-8.48,0.97,12.82,730,479,72,49
0.18,0.98,0.12,3.42,-4.27,-10.07,1.00,11.46,762,489,81,43
0.18,1.04,0.12,7.26,-4.70,-12.82,1.07,15.46,467,498,87,38
0.19,1.02,0.12,15.75,-6.23,-17.46,1.04,24.32,476,512,95,31
0.19,1.01,0.15,17.40,-6.10,-19.35,1.04,26.72,624,525,102,23
0.21,0.99,0.17,18.68,-6.90,-23.93,1.03,31.13,462,543,119,20
0.22,1.00,0.19,13.06,-4.76,-27.53,1.04,30.84,528,572,123,13
0.23,0.99,0.23,2.08,1.16,-39.92,1.04,39.99,597,604,120,6
0.26,1.18,0.24,-2.75,8.67,-53.34,1.23,54.11,485,632,122,0
0.25,1.26,0.32,-8.00,18.98,-74.10,1.33,76.91,363,640,143,0
0.32,1.46,0.23,-16.78,30.40,-103.03,1.51,108.72,400,644,150,1
0.32,1.68,0.24,-21.18,40.10,-149.66,1.72,156.38,0,0,137,2
0.53,2.03,-0.04,-42.91,41.87,-211.79,2.10,220.11,32736,0,109,0
0.69,2.73,-0.60,-67.02,-5.31,-343.08,2.88,349.60,74,652,82,0
0.26,3.24,-0.17,-12.33,-59.63,-401.67,3.26,406.26,21,643,42,0
-0.48,1.87,-0.42,37.11,-74.40,-391.17,1.98,399.91,5,523,9,0
-0.79,0.59,-0.61,-19.04,-113.10,-131.47,1.17,174.47,3,485,0,3
-1.13,1.65,0.17,20.87,-100.46,114.26,2.01,153.57,3,467,0,0
-1.03,-0.21,-0.58,54.87,-52.49,113.40,1.20,136.48,3,461,0,3
-1.06,0.36,-0.09,-51.94,-9.28,139.10,1.13,148.77,3,466,0,4
-0.87,0.65,0.08,-45.47,27.89,189.33,1.09,196.70,3,465,0,5
-0.48,0.80,-0.05,-43.70,40.83,245.61,0.94,252.78,3,466,0,4
-0.06,1.28,0.01,-52.80,29.60,271.18,1.28,277.85,3,465,0,2
0.12,1.53,0.11,-53.47,27.04,280.09,1.53,286.43,3,463,0,6
0.40,1.81,0.13,-53.28,40.71,276.79,1.85,284.80,3,459,0,4
0.78,2.03,0.03,-53.04,52.31,237.24,2.17,248.66,4,469,0,4
1.27,2.09,-0.08,-38.70,59.02,223.45,2.45,234.33,4,473,0,0
1.71,1.88,-0.10,-43.52,65.19,207.89,2.54,222.17,4,483,0,0
2.18,1.66,-0.11,-47.30,77.21,181.15,2.74,202.52,4,480,0,0
2.79,0.82,-0.29,-54.32,55.18,154.72,2.92,173.02,5,480,0,0
2.97,0.97,0.64,-90.39,-33.57,69.03,3.19,118.59,5,477,0,0
3.20,1.47,0.85,133.61,-40.16,-114.26,3.62,180.33,5,417,0,21
-0.70,0.68,-0.06,206.42,-74.34,-165.83,0.98,275.02,7,352,0,62
0.34,1.23,0.45,147.22,50.11,-209.05,1.36,260.55,10,360,0,114
0.56,1.11,0.22,13.67,19.53,-110.66,1.27,113.20,30,314,0,133
0.20,1.05,0.16,-3.54,25.33,-16.78,1.08,30.59,71,304,0,129
0.15,1.04,0.09,0.67,5.92,-11.47,1.05,12.93,132,310,4,121
0.20,0.99,0.16,24.78,0.12,-26.73,1.03,36.45,246,325,13,133
0.12,0.95,0.14,8.85,-1.65,-8.18,0.97,12.16,291,340,17,132
0.13,0.96,0.15,0.24,-0.98,-3.91,0.98,4.03,704,353,22,131
0.14,1.00,0.13,-4.27,-0.31,-4.64,1.01,6.31,330,364,25,128
0.13,0.96,0.15,-4.94,-0.24,-4.76,0.98,6.87,470,388,31,122
0.14,1.00,0.12,-7.20,-0.18,-3.97,1.02,8.22,710,408,40,118
0.15,0.99,0.12,-2.20,-1.34,-5.00,1.01,5.63,480,429,52,102
0.16,0.98,0.12,1.89,-2.01,-5.31,1.00,5.99,393,438,62,88
0.14,0.96,0.14,7.39,-4.21,-6.04,0.98,10.43,832,453,65,70
0.14,0.97,0.14,2.75,-3.72,-6.59,0.99,8.05,432,465,73,63
0.15,0.99,0.13,7.26,-4.64,-11.23,1.01,14.16,915,477,81,54
0.17,1.02,0.13,9.09,-5.68,-15.14,1.04,18.55,592,485,95,48
0.19,1.12,0.11,17.58,-7.87,-23.68,1.14,30.53,966,499,100,40
0.16,1.00,0.19,26.00,-8.12,-28.69,1.03,39.56,554,512,113,29
0.18,0.99,0.19,22.28,-6.16,-30.58,1.03,38.33,508,529,119,19
0.20,1.07,0.22,14.71,-1.77,-36.32,1.11,39.22,758,568,131,13
0.24,1.19,0.25,8.61,5.00,-58.72,1.23,59.55,676,615,138,3
0.28,1.37,0.30,4.15,9.46,-85.27,1.43,85.89,600,649,143,1
0.23,1.54,0.42,-3.30,31.80,-128.72,1.62,132.63,315,620,144,1
0.37,2.05,0.22,-20.81,35.16,-187.81,2.09,192.20,32736,3,131,0
0.69,2.63,-0.22,-50.05,32.10,-279.97,2.73,286.21,32736,0,98,0
0.33,3.25,-0.23,-55.48,-15.32,-368.16,3.28,372.64,36,638,62,0
0.20,2.84,-0.08,12.02,-51.21,-389.53,2.85,393.06,7,564,15,0
-2.79,-1.39,-1.44,67.02,-77.88,-269.41,3.44,288.34,4,480,0,0
-1.47,1.79,0.17,-15.38,-83.44,42.30,2.32,94.80,3,486,1,0
-1.08,-0.01,-0.65,72.33,-37.54,87.04,1.26,119.23,3,477,0,5
-1.03,0.41,-0.34,-40.10,-8.61,158.39,1.16,163.61,3,475,0,4
-0.72,0.48,-0.21,-28.26,13.67,197.63,0.89,200.11,3,467,0,7
-0.40,0.76,-0.18,-53.34,26.67,223.69,0.87,231.51,4,458,0,6
-0.05,1.08,-0.09,-65.37,27.22,242.49,1.09,252.62,4,453,0,4
0.09,1.36,0.08,-73.85,27.59,245.97,1.37,258.30,4,453,0,6
0.36,1.54,0.04,-66.47,29.66,250.12,1.59,260.50,5,450,0,6
0.56,1.68,-0.02,-62.99,21.18,222.84,1.77,232.54,5,454,2,5
0.63,1.76,0.02,-65.61,26.49,204.71,1.87,216.60,5,458,0,3
1.26,1.76,-0.03,-72.02,50.78,176.03,2.16,196.85,5,473,1,0
1.66,1.80,0.03,-76.78,52.00,143.98,2.45,171.26,5,481,0,0
2.33,1.24,-0.11,-77.82,31.86,113.04,2.64,140.88,5,477,0,0
2.49,0.88,0.22,-109.25,-6.16,87.83,2.65,140.31,5,470,0,0
2.35,1.11,0.91,-91.06,-23.68,33.69,2.75,99.94,5,463,2,0
2.05,1.60,0.38,211.61,23.62,-167.48,2.63,270.90,6,379,0,29
-0.33,1.74,-0.06,187.32,40.65,-166.02,1.77,253.58,10,333,0,79
0.53,0.57,0.87,209.47,66.04,-187.38,1.16,288.70,16,348,0,120
