-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.12,0.96,0.07,0.79,0.61,-0.37,0.97,1.07,12,592,12,89
0.12,0.96,0.07,0.79,0.49,-0.18,0.97,0.95,13,589,11,90
0.12,0.96,0.07,0.92,0.67,-0.18,0.97,1.15,12,589,13,86
0.12,0.96,0.07,0.73,0.61,-0.24,0.97,0.98,12,590,12,84
0.12,0.96,0.07,0.61,0.55,-0.12,0.97,0.83,12,590,10,88
0.12,0.96,0.07,0.73,0.79,-0.31,0.97,1.12,12,587,11,90
0.12,0.96,0.07,0.37,0.67,-0.18,0.97,0.79,12,588,9,91
0.12,0.96,0.07,0.67,0.67,-0.37,0.97,1.02,12,589,11,87
0.12,0.96,0.07,0.61,0.55,-0.31,0.97,0.88,12,587,12,90
0.12,0.96,0.07,0.79,0.55,-0.31,0.97,1.01,12,587,11,86
0.12,0.96,0.07,0.85,0.61,-0.24,0.97,1.08,12,589,11,90
0.12,0.96,0.07,0.79,0.49,-0.37,0.97,1.00,12,590,11,89
0.12,0.96,0.07,0.67,0.61,-0.37,0.97,0.98,12,591,12,88
0.12,0.96,0.07,0.79,0.61,-0.31,0.97,1.05,13,588,10,88
0.12,0.96,0.07,0.92,0.55,-0.37,0.97,1.13,12,589,12,89
0.12,0.96,0.07,0.61,0.49,-0.24,0.97,0.82,12,591,11,89
0.12,0.96,0.07,0.73,0.73,-0.24,0.97,1.06,12,592,11,86
0.12,0.96,0.07,0.73,0.55,-0.24,0.97,0.95,12,590,10,90
0.12,0.96,0.07,0.55,0.73,-0.24,0.97,0.95,12,588,11,90
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,589,12,90
0.12,0.96,0.07,0.67,0.55,-0.43,0.97,0.97,12,588,11,90
0.12,0.96,0.07,0.67,0.67,-0.43,0.97,1.04,12,588,11,89
0.12,0.96,0.07,0.67,0.55,-0.37,0.97,0.94,12,587,11,88
0.12,0.96,0.07,0.73,0.67,-0.24,0.97,1.02,12,589,12,87
0.12,0.96,0.07,0.67,0.49,-0.37,0.97,0.91,12,588,13,85
0.12,0.96,0.07,0.79,0.85,-0.06,0.97,1.17,12,589,11,90
0.12,0.96,0.07,0.61,0.55,-0.31,0.97,0.88,12,592,12,91
0.12,0.96,0.07,0.73,0.67,-0.18,0.97,1.01,12,588,9,87
0.12,0.96,0.07,0.67,0.73,-0.12,0.97,1.00,12,588,9,88
0.12,0.96,0.07,0.61,0.61,-0.37,0.97,0.94,12,590,11,86
0.12,0.96,0.07,0.67,0.43,-0.37,0.97,0.88,13,589,12,86
0.12,0.96,0.07,0.73,0.55,-0.43,0.97,1.01,12,590,9,89
0.12,0.96,0.07,0.61,0.67,-0.37,0.97,0.98,12,589,11,89
0.12,0.96,0.07,0.49,0.67,-0.31,0.97,0.88,12,588,10,90
0.12,0.96,0.07,0.85,0.67,-0.24,0.97,1.11,13,590,11,89
0.12,0.96,0.07,0.67,0.61,-0.18,0.97,0.93,12,591,11,89
0.12,0.96,0.07,0.98,0.61,-0.31,0.97,1.19,12,587,11,87
0.12,0.96,0.07,0.73,0.67,-0.18,0.97,1.01,13,590,10,86
0.12,0.96,0.07,0.73,0.49,-0.24,0.97,0.91,12,590,13,90
0.12,0.96,0.07,0.85,0.49,-0.18,0.97,1.00,12,588,10,84
0.12,0.96,0.07,0.43,0.31,-0.31,0.97,0.61,12,587,10,91
0.12,0.96,0.07,0.55,0.67,-0.18,0.97,0.89,12,590,11,89
0.12,0.96,0.07,0.61,0.49,-0.43,0.97,0.89,12,592,11,90
0.12,0.96,0.07,0.61,0.49,-0.24,0.97,0.82,12,589,12,85
0.12,0.96,0.07,0.37,0.61,-0.24,0.97,0.75,12,589,12,87
0.12,0.96,0.07,0.61,0.55,-0.37,0.97,0.90,12,587,10,91
0.12,0.96,0.07,0.55,0.67,-0.31,0.97,0.92,12,590,11,89
0.12,0.96,0.07,0.55,0.61,-0.31,0.97,0.88,12,592,11,88
0.12,0.96,0.07,0.98,0.55,-0.31,0.97,1.16,13,588,11,90
0.12,0.96,0.07,0.61,0.73,-0.49,0.97,1.07,13,588,10,89
0.12,0.96,0.07,1.04,0.61,-0.12,0.97,1.21,12,590,11,89
0.12,0.96,0.07,0.67,0.55,-0.37,0.97,0.94,12,590,11,87
0.12,0.96,0.07,0.73,0.67,-0.24,0.97,1.02,13,590,13,88
0.12,0.96,0.07,0.85,0.61,-0.31,0.97,1.09,13,589,9,87
0.12,0.96,0.07,0.73,0.55,-0.18,0.97,0.93,12,588,11,86
0.12,0.96,0.07,0.67,0.61,-0.12,0.97,0.92,12,590,12,88
0.12,0.96,0.07,0.73,0.61,-0.37,0.97,1.02,13,589,10,90
0.12,0.96,0.07,0.49,0.67,-0.18,0.97,0.85,12,590,12,89
0.12,0.96,0.07,0.55,0.55,-0.31,0.97,0.83,12,591,12,88
0.12,0.96,0.07,0.61,0.67,-0.31,0.97,0.96,12,587,11,90
0.12,0.96,0.07,0.43,0.49,-0.31,0.97,0.72,13,590,11,85
0.12,0.96,0.07,0.73,0.43,-0.12,0.97,0.86,12,591,12,85
0.12,0.96,0.07,0.85,0.61,-0.18,0.97,1.07,12,590,12,90
0.12,0.96,0.07,0.67,0.79,-0.24,0.97,1.07,12,588,10,88
0.12,0.96,0.07,0.92,0.55,-0.24,0.97,1.10,12,590,12,88
0.12,0.96,0.07,0.67,0.61,-0.31,0.97,0.96,12,589,11,90
0.12,0.96,0.07,0.85,0.73,-0.31,0.97,1.17,12,590,12,89
0.12,0.96,0.07,0.73,0.43,-0.43,0.97,0.95,12,589,12,84
0.12,0.96,0.07,0.61,0.49,-0.24,0.97,0.82,12,590,10,90
0.12,0.96,0.07,0.73,0.49,-0.18,0.97,0.90,12,589,10,89
0.12,0.96,0.07,0.73,0.55,-0.12,0.97,0.92,12,589,10,89
0.12,0.96,0.07,0.79,0.67,-0.37,0.97,1.10,12,593,10,86
0.12,0.96,0.07,0.79,0.55,-0.24,0.97,1.00,12,589,11,88
0.12,0.96,0.07,0.79,0.73,-0.06,0.97,1.08,12,590,11,88
0.12,0.96,0.07,0.73,0.67,-0.37,0.97,1.06,12,590,10,88
0.12,0.96,0.07,0.85,0.67,-0.18,0.97,1.10,13,591,12,89
0.12,0.96,0.07,0.85,0.73,-0.31,0.97,1.17,12,592,11,87
0.12,0.96,0.07,0.73,0.61,-0.12,0.97,0.96,12,588,12,90
0.12,0.96,0.07,0.49,0.67,-0.24,0.97,0.87,12,589,11,89
0.12,0.96,0.07,0.49,0.61,-0.31,0.97,0.84,13,590,9,86
0.12,0.96,0.07,0.61,0.55,-0.24,0.97,0.86,12,590,11,90
0.12,0.96,0.07,0.67,0.61,-0.31,0.97,0.96,12,589,12,89
0.12,0.96,0.07,0.79,0.61,-0.24,0.97,1.03,12,590,12,88
0.12,0.96,0.07,0.67,0.49,-0.37,0.97,0.91,12,590,12,87
0.12,0.96,0.07,0.67,0.67,-0.31,0.97,1.00,12,591,12,87
0.12,0.96,0.07,0.61,0.55,-0.49,0.97,0.96,13,591,11,87
0.12,0.96,0.07,0.79,0.55,-0.24,0.97,1.00,12,589,11,89
0.12,0.96,0.07,0.85,0.67,-0.31,0.97,1.13,12,589,9,89
0.12,0.96,0.07,0.92,0.67,-0.24,0.97,1.16,13,588,10,84
0.12,0.96,0.07,0.73,0.61,-0.24,0.97,0.98,12,591,12,87
0.12,0.96,0.07,0.55,0.55,-0.24,0.97,0.81,12,592,12,90
0.12,0.96,0.07,0.61,0.67,-0.18,0.97,0.93,12,590,12,90
0.12,0.96,0.07,0.49,0.67,-0.31,0.97,0.88,12,585,12,89
0.12,0.96,0.07,0.61,0.55,-0.37,0.97,0.90,12,590,10,87
0.12,0.96,0.07,0.55,0.49,-0.43,0.97,0.85,12,592,11,89
0.12,0.96,0.07,0.73,0.73,-0.37,0.97,1.10,12,592,12,88
0.12,0.96,0.07,0.85,0.61,-0.31,0.97,1.09,12,589,11,89
0.12,0.96,0.07,0.79,0.55,-0.18,0.97,0.98,12,590,11,86
0.12,0.96,0.07,0.79,0.79,-0.18,0.97,1.14,12,593,10,90
0.12,0.96,0.07,0.67,0.61,-0.24,0.97,0.94,13,592,12,88
0.12,0.96,0.07,0.98,0.73,-0.18,0.97,1.23,11,592,11,88
0.12,0.96,0.07,0.61,0.49,-0.37,0.97,0.86,12,591,11,89
0.12,0.96,0.07,0.61,0.73,-0.31,0.97,1.00,12,592,11,89
0.12,0.96,0.07,0.73,0.67,-0.43,0.97,1.08,12,590,11,86
0.12,0.96,0.07,0.61,0.61,-0.37,0.97,0.94,12,593,11,88
0.12,0.96,0.07,0.73,0.55,-0.43,0.97,1.01,12,591,11,88
0.12,0.96,0.07,0.73,0.67,-0.43,0.97,1.08,12,589,11,89
0.12,0.96,0.07,0.49,0.61,-0.37,0.97,0.86,12,591,11,87
0.12,0.96,0.07,0.67,0.55,-0.24,0.97,0.90,12,591,12,89
0.12,0.96,0.07,0.67,0.79,-0.06,0.97,1.04,12,590,10,86
0.12,0.96,0.07,0.37,0.67,-0.37,0.97,0.85,12,592,10,85
0.12,0.96,0.07,0.73,0.55,-0.12,0.97,0.92,12,590,12,90
0.12,0.96,0.07,0.73,0.61,-0.18,0.97,0.97,12,592,11,88
