-,-,-,-,-,-,-,-,-,-,-,-
'w'
1.44,0.82,0.22,45.96,-6.84,2.81,1.67,46.55,1,766,0,0
0.40,1.40,0.04,139.10,-17.82,-78.25,1.46,160.59,1,722,0,13
-0.51,1.04,-0.11,26.98,11.96,-107.73,1.16,111.70,1,657,0,39
0.64,1.80,0.05,0.79,10.13,-32.65,1.92,34.20,4,548,3,81
0.11,0.98,0.14,13.43,0.18,-5.98,0.99,14.70,20,490,17,101
0.09,1.01,0.10,-0.85,-0.37,-4.70,1.02,4.79,32,489,28,109
0.09,1.00,0.09,1.28,-1.10,-3.60,1.01,3.98,41,482,33,115
0.08,1.00,0.10,4.09,-1.34,-3.17,1.01,5.35,59,485,44,115
0.09,0.98,0.11,3.23,-0.06,-2.44,1.00,4.05,82,493,57,116
0.09,0.98,0.11,-0.85,0.67,-1.77,0.99,2.08,108,501,64,115
0.10,0.99,0.11,-2.99,0.24,-1.53,1.00,3.37,124,509,71,112
0.10,1.00,0.11,-4.46,0.73,-1.28,1.01,4.69,141,521,80,98
0.09,0.98,0.10,-4.58,1.34,-1.28,0.99,4.94,153,533,83,73
0.09,0.99,0.09,-4.64,1.28,-1.04,1.00,4.92,167,552,90,58
0.09,0.99,0.09,-2.38,0.61,-0.98,1.00,2.64,184,571,102,49
0.10,1.06,0.08,-1.83,-0.12,-1.16,1.06,2.17,222,587,112,41
0.11,1.16,0.05,4.46,-1.40,-8.24,1.17,9.47,217,607,117,31
0.10,0.99,0.10,12.88,-2.26,-17.15,1.00,21.57,183,628,125,25
0.11,0.99,0.11,12.57,-2.08,-18.92,1.00,22.81,182,652,131,18
0.11,1.02,0.12,12.39,-2.26,-22.34,1.04,25.64,173,683,137,10
0.13,1.07,0.11,11.17,-2.69,-32.29,1.09,34.27,131,730,143,4
0.16,1.48,0.19,-14.47,0.18,-51.45,1.50,53.45,95,778,149,0
0.15,1.18,0.20,-4.03,5.92,-74.34,1.21,74.68,65,792,154,1
0.19,1.36,0.15,-8.42,8.42,-97.41,1.38,98.14,34,812,155,2
0.25,1.51,0.03,0.92,6.96,-131.47,1.53,131.66,20,825,150,1
0.25,1.64,-0.02,22.64,-1.40,-177.00,1.66,178.45,12,823,141,0
0.26,1.98,-0.08,48.22,-12.33,-235.05,2.00,240.26,7,817,112,0
0.36,2.45,-0.01,74.10,-17.58,-304.81,2.48,314.18,4,795,60,0
0.43,1.72,-0.09,67.81,-15.69,-339.23,1.78,346.30,2,775,24,0
