-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.13,0.97,0.02,1.40,1.04,-0.61,0.98,1.85,12,500,16,48
0.13,0.97,0.02,1.40,1.28,-0.43,0.98,1.95,13,503,16,49
0.13,0.98,0.03,1.34,1.04,-0.67,0.99,1.82,13,501,17,51
0.13,0.97,0.03,1.28,1.10,-0.61,0.98,1.80,12,501,16,48
0.13,0.97,0.02,1.16,0.98,-0.61,0.98,1.63,13,503,14,49
0.13,0.97,0.02,1.10,1.04,-0.37,0.98,1.55,13,503,15,51
0.13,0.97,0.02,1.16,1.10,-0.61,0.98,1.71,12,501,14,51
0.13,0.97,0.02,1.16,1.28,-0.73,0.98,1.88,12,503,17,52
0.13,0.97,0.02,1.10,1.16,-0.61,0.98,1.71,13,501,15,51
0.13,0.97,0.03,1.16,1.22,-0.61,0.98,1.79,13,503,16,50
0.13,0.97,0.02,1.34,1.10,-0.43,0.98,1.79,13,501,18,49
0.13,0.97,0.02,1.53,1.16,-0.49,0.98,1.98,13,501,15,49
0.13,0.97,0.02,1.22,1.16,-0.55,0.98,1.77,13,502,16,49
0.13,0.97,0.02,1.16,1.04,-0.49,0.98,1.63,14,503,16,51
0.13,0.97,0.02,1.28,0.92,-0.43,0.98,1.63,13,501,13,50
0.13,0.97,0.02,1.53,1.16,-0.49,0.98,1.98,13,501,15,49
0.13,0.97,0.02,1.34,1.16,-0.67,0.98,1.90,13,502,15,50
0.13,0.97,0.03,1.28,1.22,-0.37,0.98,1.81,13,500,15,49
0.13,0.98,0.03,1.46,1.16,-0.55,0.98,1.95,13,501,17,51
0.13,0.97,0.02,1.40,0.98,-0.67,0.98,1.84,13,501,16,50
0.13,0.97,0.02,1.34,1.28,-0.43,0.98,1.90,13,504,15,48
0.12,0.97,0.02,1.46,1.16,-0.43,0.98,1.92,13,502,16,50
0.13,0.97,0.02,1.53,1.04,-0.49,0.98,1.91,13,502,16,49
0.13,0.97,0.02,1.22,1.22,-0.61,0.98,1.83,13,502,16,50
0.13,0.97,0.03,1.28,1.04,-0.55,0.98,1.74,13,501,16,48
0.13,0.97,0.02,1.28,1.04,-0.55,0.98,1.74,13,503,18,51
0.13,0.97,0.02,1.16,1.10,-0.55,0.98,1.69,13,503,14,50
0.13,0.97,0.03,1.40,1.04,-0.61,0.98,1.85,13,502,17,50
0.13,0.97,0.02,1.34,1.16,-0.73,0.98,1.92,13,505,17,50
0.13,0.97,0.02,1.40,1.22,-0.73,0.98,2.00,14,503,17,50
0.13,0.97,0.02,1.40,0.98,-0.67,0.98,1.84,13,502,18,50
0.13,0.97,0.02,1.40,1.10,-0.49,0.98,1.85,13,501,15,50
0.13,0.97,0.02,1.28,1.04,-0.61,0.98,1.76,13,502,16,50
0.13,0.97,0.02,1.40,1.10,-0.73,0.98,1.93,14,503,15,51
0.13,0.97,0.02,1.46,1.16,-0.67,0.98,1.99,13,502,16,50
0.13,0.97,0.02,1.28,1.10,-0.61,0.98,1.80,13,502,15,51
0.13,0.97,0.02,1.34,1.04,-0.55,0.98,1.78,14,503,16,50
0.13,0.98,0.02,1.22,1.10,-0.49,0.98,1.71,14,502,16,51
0.13,0.97,0.02,1.59,1.34,-0.55,0.98,2.15,14,503,17,49
0.13,0.97,0.02,1.53,1.16,-0.49,0.98,1.98,13,501,17,49
0.13,0.97,0.02,1.28,1.10,-0.73,0.98,1.84,14,503,15,50
0.13,0.97,0.02,1.28,1.16,-0.55,0.98,1.81,14,500,15,51
0.13,0.97,0.02,1.34,1.10,-0.67,0.98,1.86,13,504,16,51
0.13,0.97,0.02,1.40,1.04,-0.67,0.98,1.87,13,502,17,51
0.13,0.97,0.02,1.46,1.10,-0.43,0.98,1.88,13,500,16,50
0.13,0.97,0.02,1.40,1.22,-0.43,0.98,1.91,14,503,16,49
0.13,0.97,0.02,1.16,1.10,-0.85,0.98,1.81,14,501,16,50
0.13,0.97,0.02,1.28,1.16,-0.67,0.98,1.85,14,502,16,52
0.13,0.97,0.02,1.40,1.10,-0.73,0.98,1.93,13,501,17,49
0.13,0.97,0.02,1.40,1.10,-0.67,0.98,1.90,14,502,16,50
0.13,0.98,0.02,1.34,1.10,-0.67,0.99,1.86,13,503,17,50
0.13,0.97,0.02,1.65,1.04,-0.73,0.98,2.08,13,502,19,50
0.13,0.97,0.02,1.53,0.98,-0.67,0.98,1.93,13,502,17,50
0.13,0.97,0.02,1.71,1.10,-0.67,0.98,2.14,13,502,17,48
0.13,0.97,0.02,1.40,0.92,-0.67,0.98,1.81,14,501,16,51
0.13,0.97,0.02,1.53,1.04,-0.67,0.98,1.96,13,503,17,50
0.13,0.97,0.02,1.22,1.04,-0.49,0.98,1.67,14,503,14,51
0.13,0.97,0.02,1.16,1.04,-0.49,0.98,1.63,14,503,16,51
0.13,0.97,0.03,1.28,0.98,-0.61,0.98,1.72,14,504,18,50
0.13,0.97,0.02,1.10,0.98,-0.49,0.98,1.55,13,505,18,50
0.13,0.97,0.02,1.28,1.16,-0.55,0.98,1.81,13,502,17,48
0.13,0.97,0.02,1.10,1.10,-0.61,0.98,1.67,14,503,19,51
0.13,0.97,0.02,1.22,1.04,-0.61,0.98,1.71,14,504,15,50
0.13,0.97,0.03,1.28,0.92,-0.61,0.98,1.69,13,503,16,49
0.13,0.97,0.02,1.22,1.16,-0.55,0.98,1.77,13,501,17,52
0.13,0.97,0.02,1.04,1.10,-0.49,0.98,1.59,14,503,17,49
0.13,0.97,0.02,1.22,1.10,-0.37,0.98,1.68,14,501,17,49
0.13,0.97,0.02,1.28,1.04,-0.55,0.98,1.74,14,501,16,49
0.13,0.97,0.02,1.40,1.16,-0.37,0.98,1.86,13,500,14,51
0.13,0.97,0.02,1.65,1.16,-0.61,0.98,2.11,13,500,15,52
0.13,0.97,0.03,1.40,1.10,-0.55,0.98,1.87,14,498,15,51
0.13,0.97,0.02,1.10,1.16,-0.55,0.98,1.69,13,499,15,50
0.13,0.98,0.02,1.16,1.28,-0.55,0.99,1.81,13,499,15,51
0.13,0.98,0.02,1.53,1.10,-0.49,0.98,1.94,13,499,13,52
0.13,0.97,0.03,1.71,1.04,-0.61,0.98,2.09,14,499,15,51
0.13,0.97,0.02,1.59,1.10,-0.61,0.98,2.02,14,499,15,51
0.13,0.97,0.02,1.28,1.04,-0.49,0.98,1.72,14,500,17,52
0.13,0.98,0.02,1.46,1.10,-0.49,0.98,1.90,14,499,18,52
0.13,0.98,0.02,2.20,1.10,-0.49,0.99,2.50,14,500,15,51
0.13,0.97,0.03,2.32,0.92,-0.67,0.98,2.58,13,502,16,50
0.13,0.97,0.03,2.26,1.10,-0.61,0.98,2.58,14,501,16,49
0.13,0.97,0.03,1.53,1.16,-0.55,0.98,1.99,14,500,18,52
0.13,0.97,0.02,1.53,1.16,-0.49,0.98,1.98,13,500,18,51
0.13,0.97,0.03,1.65,0.79,-0.67,0.98,1.95,14,502,17,52
0.13,0.97,0.03,0.98,1.16,-0.67,0.98,1.66,14,502,17,52
0.13,0.97,0.03,0.79,1.34,-0.37,0.98,1.60,14,500,17,53
0.13,0.98,0.02,0.73,1.22,-0.49,0.99,1.50,14,501,18,53
0.13,0.97,0.02,0.61,1.10,-0.49,0.98,1.35,14,500,17,51
0.13,0.98,0.02,1.04,1.04,-0.55,0.98,1.57,13,500,16,52
0.13,0.97,0.03,1.04,1.22,-0.37,0.98,1.64,14,500,15,51
0.13,0.97,0.02,1.16,1.16,-0.31,0.98,1.67,14,497,15,52
0.13,0.97,0.02,1.10,1.10,-0.43,0.98,1.61,13,497,17,53
0.13,0.97,0.03,1.16,1.16,-0.43,0.98,1.69,13,496,14,52
0.13,0.97,0.02,1.16,1.16,-0.49,0.98,1.71,14,497,15,50
0.13,0.97,0.02,1.28,0.98,-0.79,0.98,1.80,13,497,13,53
0.13,0.97,0.02,1.28,1.04,-0.73,0.98,1.80,13,497,16,51
0.13,0.97,0.02,1.22,0.98,-0.73,0.98,1.73,13,499,15,54
0.13,0.97,0.02,1.40,1.04,-0.73,0.98,1.89,13,499,15,52
0.13,0.97,0.02,1.46,1.10,-0.61,0.98,1.93,13,499,16,49
0.13,0.97,0.02,1.77,1.10,-0.61,0.98,2.17,14,499,15,52
0.13,0.97,0.03,1.40,1.04,-0.49,0.98,1.81,13,501,16,52
0.13,0.97,0.02,1.59,1.16,-0.67,0.98,2.08,14,501,17,52
0.13,0.97,0.02,1.28,1.10,-0.55,0.98,1.78,13,499,15,52
0.13,0.97,0.02,1.40,1.04,-0.49,0.98,1.81,14,500,19,53
0.13,0.97,0.02,1.22,1.22,-0.61,0.98,1.83,13,501,16,53
0.13,0.98,0.02,1.04,1.16,-0.31,0.98,1.59,14,499,15,51
0.13,0.97,0.02,1.34,1.16,-0.18,0.98,1.78,14,500,16,54
0.13,0.98,0.02,1.34,1.16,-0.24,0.99,1.79,13,497,16,53
0.13,0.98,0.03,1.59,1.16,-0.12,0.99,1.97,12,496,16,53
0.13,0.98,0.02,1.77,1.10,0.06,0.99,2.08,12,493,13,52
0.13,0.97,0.02,1.34,1.10,-0.61,0.98,1.84,12,493,15,51
0.13,0.98,0.03,1.34,1.10,-0.55,0.98,1.82,12,496,15,50
0.13,0.97,0.03,1.22,1.04,-1.10,0.98,1.94,13,495,16,50
0.13,0.97,0.03,0.79,1.16,-0.92,0.98,1.68,13,498,15,52
0.13,0.97,0.02,0.67,1.16,-0.92,0.98,1.62,13,500,15,54
0.13,0.97,0.02,0.49,1.34,-0.55,0.98,1.53,13,499,15,53
0.13,0.98,0.02,0.61,1.22,-0.73,0.98,1.55,14,499,15,51
0.13,0.97,0.02,0.67,1.16,-0.61,0.98,1.47,14,502,16,53
0.13,0.98,0.02,1.04,1.10,-0.24,0.99,1.53,14,500,16,49
0.13,0.97,0.02,1.40,1.04,-0.31,0.98,1.77,14,499,17,53
0.13,0.98,0.02,1.83,1.10,-0.18,0.99,2.14,13,498,17,52
0.13,0.98,0.02,2.20,0.98,-0.31,0.99,2.42,13,497,14,52
0.13,0.97,0.02,2.44,0.92,-0.55,0.98,2.66,13,498,14,54
0.13,0.98,0.03,2.69,1.10,-0.67,0.98,2.98,13,498,14,52
0.13,0.97,0.03,2.56,1.04,-0.73,0.98,2.86,13,498,15,52
0.13,0.97,0.03,2.32,0.98,-0.61,0.98,2.59,13,500,16,52
0.13,0.97,0.03,1.83,1.22,-0.61,0.98,2.28,13,502,16,52
0.13,0.97,0.03,1.16,1.22,-0.31,0.98,1.71,13,501,15,52
0.13,0.97,0.02,1.10,1.28,-0.61,0.98,1.80,13,501,17,52
0.13,0.97,0.03,1.40,1.28,-0.61,0.98,2.00,13,499,16,54
0.13,0.97,0.03,0.85,1.04,-0.85,0.98,1.59,13,501,17,51
0.13,0.97,0.03,0.67,1.34,-0.55,0.98,1.60,13,502,17,54
0.13,0.97,0.02,0.55,1.22,-0.79,0.98,1.56,13,502,17,51
0.13,0.98,0.02,0.43,1.28,-0.73,0.98,1.54,14,503,20,54
0.13,0.97,0.02,0.98,1.04,-0.67,0.98,1.58,13,502,16,52
