-,-,-,-,-,-,-,-,-,-,-,-
'w'
-0.55,0.63,-0.32,10.50,-58.23,346.44,0.89,351.45,1,655,0,11
-0.63,1.07,0.07,2.44,-26.43,331.79,1.24,332.85,1,657,0,15
-0.42,1.11,-0.25,-2.32,50.29,343.08,1.21,346.75,1,657,0,16
-0.07,1.77,-0.34,-80.69,61.71,331.85,1.81,347.05,1,656,0,14
0.34,2.43,-0.23,-80.32,61.89,321.29,2.46,336.91,2,648,0,11
1.17,2.41,-0.35,-54.26,62.01,312.13,2.70,322.83,2,649,0,11
2.23,2.47,-0.44,-94.54,29.72,276.86,3.36,294.06,2,647,0,5
2.63,2.60,0.26,-112.49,-25.15,231.69,3.71,258.78,2,643,0,1
3.58,1.71,0.18,38.39,-41.14,191.89,3.98,199.97,2,635,0,7
4.00,-0.20,-0.41,35.71,-79.22,114.01,4.02,143.35,3,621,0,7
-0.30,0.88,-0.02,94.24,-14.65,-236.15,0.93,254.68,5,471,0,60
-0.06,0.89,0.14,249.15,35.71,-248.05,0.91,353.38,5,451,0,84
0.54,1.30,0.15,18.01,33.26,-213.87,1.42,217.19,8,462,0,126
0.22,1.53,-0.31,-73.12,38.82,-31.62,1.58,88.62,82,455,0,131
0.09,0.99,-0.05,11.29,0.85,-6.96,0.99,13.29,339,507,12,136
0.05,0.98,-0.05,8.67,-1.34,-2.93,0.98,9.25,288,523,39,135
0.04,0.98,-0.05,3.36,-1.16,-1.65,0.98,3.92,330,532,47,138
0.04,1.00,-0.06,0.37,-1.10,-0.85,1.00,1.44,412,538,54,131
0.04,1.00,-0.06,2.38,-1.71,-1.04,1.00,3.11,465,541,60,128
0.04,0.99,-0.05,5.92,-3.60,-2.01,1.00,7.22,327,559,68,117
0.04,1.00,-0.05,5.80,-4.64,-4.09,1.00,8.48,548,568,75,104
0.05,1.01,-0.06,7.39,-6.59,-6.65,1.02,11.93,347,585,87,85
0.05,1.01,-0.05,10.44,-8.67,-9.28,1.01,16.44,384,605,93,63
0.06,1.05,-0.05,10.62,-10.74,-14.40,1.06,20.87,400,623,103,53
