-,-,-,-,-,-,-,-,-,-,-,-
'w'
-0.28,0.68,-0.16,-6.84,54.69,161.56,0.75,170.70,0,0,5,10
-0.32,0.65,0.02,-8.54,39.37,184.39,0.72,188.74,0,0,5,10
-0.31,0.95,0.16,-7.69,41.87,229.61,1.01,233.53,0,0,7,11
-0.10,0.98,0.11,0.24,52.67,247.13,0.99,252.68,0,0,6,10
-0.04,1.23,0.30,-11.54,54.08,255.92,1.27,261.83,0,0,1,13
0.16,1.60,0.24,8.85,60.36,254.33,1.63,261.55,0,0,0,12
0.22,1.65,-0.08,32.47,52.49,242.00,1.67,249.75,0,0,0,12
0.31,1.68,-0.29,25.88,47.49,228.82,1.73,235.12,0,0,0,12
0.44,1.70,-0.39,1.83,47.61,206.12,1.80,211.55,0,0,0,9
0.68,1.78,-0.39,-24.35,42.18,166.32,1.95,173.30,0,0,0,9
1.18,1.70,-0.63,-29.60,19.78,135.19,2.16,139.80,0,0,0,6
1.41,1.00,-0.64,-51.09,-31.49,134.70,1.84,147.47,0,0,0,8
1.43,1.33,0.47,-110.84,-47.73,161.01,2.01,201.22,0,0,0,7
2.67,1.84,0.84,-24.41,16.60,78.49,3.35,83.86,0,0,0,21
3.77,1.21,-0.15,77.03,23.50,-193.79,3.96,209.85,0,0,0,56
0.19,1.71,0.14,28.56,22.03,-253.17,1.72,255.73,0,0,0,112
0.15,1.22,0.03,-35.03,34.67,-125.92,1.23,135.22,0,0,6,131
-0.05,0.86,0.03,-3.05,-12.45,-12.70,0.86,18.04,29,542,42,135
0.03,0.98,0.01,1.59,0.31,-3.36,0.98,3.73,60,563,60,130
0.02,1.01,-0.01,2.32,0.49,-1.53,1.01,2.82,58,575,71,126
0.02,1.00,0.00,6.16,0.37,-1.22,1.00,6.29,52,588,84,130
0.02,0.99,0.01,7.14,-0.18,-1.83,0.99,7.37,46,598,90,124
0.02,0.97,0.03,2.14,-0.24,-0.98,0.98,2.36,45,600,99,130
0.02,0.99,0.02,-0.79,-0.37,-0.67,0.99,1.10,53,601,107,135
0.02,1.00,0.01,-2.01,-0.37,-0.49,1.00,2.10,56,598,108,140
0.02,1.00,0.01,-2.50,-0.31,-0.24,1.00,2.53,63,597,108,141
0.02,0.99,0.02,-3.91,-0.06,0.18,0.99,3.91,76,594,110,141
0.01,1.00,0.00,-3.42,-0.18,-0.49,1.00,3.46,93,598,112,136
0.02,1.01,0.04,-0.73,-1.89,-2.08,1.01,2.90,128,595,116,134
